country_code,period,period_label,indicator,value,unit,source,fetched_at
BR,2024-08-01,agosto 2024,ipca_variacao_mensal,-0.02,%,ibge_sidra,2026-08-14T03:33:19.189315+00:00
BR,2024-09-01,setembro 2024,ipca_variacao_mensal,0.44,%,ibge_sidra,2026-08-14T03:33:19.189315+00:00
BR,2024-10-01,outubro 2024,ipca_variacao_mensal,0.56,%,ibge_sidra,2026-08-14T03:33:19.189315+00:00
BR,2024-11-01,novembro 2024,ipca_variacao_mensal,0.39,%,ibge_sidra,2026-08-14T03:33:19.189315+00:00
BR,2024-12-01,dezembro 2024,ipca_variacao_mensal,0.52,%,ibge_sidra,2026-08-14T03:33:19.189315+00:00
BR,2025-01-01,janeiro 2025,ipca_variacao_mensal,0.16,%,ibge_sidra,2026-08-14T03:33:19.189315+00:00
BR,2025-02-01,fevereiro 2025,ipca_variacao_mensal,1.31,%,ibge_sidra,2026-08-14T03:33:19.189315+00:00
BR,2025-03-01,março 2025,ipca_variacao_mensal,0.56,%,ibge_sidra,2026-08-14T03:33:19.189315+00:00
BR,2025-04-01,abril 2025,ipca_variacao_mensal,0.43,%,ibge_sidra,2026-08-14T03:33:19.189315+00:00
BR,2025-05-01,maio 2025,ipca_variacao_mensal,0.26,%,ibge_sidra,2026-08-14T03:33:19.189315+00:00
BR,2025-06-01,junho 2025,ipca_variacao_mensal,0.24,%,ibge_sidra,2026-08-14T03:33:19.189315+00:00
BR,2025-07-01,julho 2025,ipca_variacao_mensal,0.26,%,ibge_sidra,2026-08-14T03:33:19.189315+00:00
BR,2025-08-01,agosto 2025,ipca_variacao_mensal,-0.11,%,ibge_sidra,2026-08-14T03:33:19.189315+00:00
BR,2025-09-01,setembro 2025,ipca_variacao_mensal,0.48,%,ibge_sidra,2026-08-14T03:33:19.189315+00:00
BR,2025-10-01,outubro 2025,ipca_variacao_mensal,0.09,%,ibge_sidra,2026-08-14T03:33:19.189315+00:00
BR,2025-11-01,novembro 2025,ipca_variacao_mensal,0.18,%,ibge_sidra,2026-08-14T03:33:19.189315+00:00
BR,2025-12-01,dezembro 2025,ipca_variacao_mensal,0.33,%,ibge_sidra,2026-08-14T03:33:19.189315+00:00
BR,2026-01-01,janeiro 2026,ipca_variacao_mensal,0.33,%,ibge_sidra,2026-08-14T03:33:19.189315+00:00
BR,2026-02-01,fevereiro 2026,ipca_variacao_mensal,0.7,%,ibge_sidra,2026-08-14T03:33:19.189315+00:00
BR,2026-03-01,março 2026,ipca_variacao_mensal,0.88,%,ibge_sidra,2026-08-14T03:33:19.189315+00:00
